Rank;Name;Market Cap EUR;Market Cap USD;Price EUR;Today
1;SAP;164380000000.0;181430000000.0;140.06;0.17%
2;Siemens;134250000000.0;148180000000.0;169.96;0.85%
3;Deutsche Telekom;108180000000.0;119400000000.0;21.75;0.62%
4;Allianz;94790000000.0;104630000000.0;242.0;0.54%
5;Porsche;72800000000.0;80350000000.0;79.92;0.00%
6;Mercedes-Benz;66959999999.99999;73910000000.0;62.6;0.47%
7;BMW;66160000000.0;73020000000.0;100.8;0.34%
8;Merck KGaA;62880000000.0;69400000000.0;144.62;1.09%
9;Siemens Healthineers;59140000000.0;65280000000.0;52.61;1.09%
10;Volkswagen;57680000000.0;63660000000.0;111.83;0.32%
11;DHL Group (Deutsche Post);53450000000.0;59000000000.0;44.87;0.35%
12;Munich RE (Münchener Rück);51070000000.0;56370000000.0;375.18;0.45%
13;Infineon;49290000000.0;54400000000.0;37.81;0.36%
14;BASF;43540000000.0;48060000000.0;48.79;0.41%
15;Deutsche Börse;34270000000.000004;37830000000.0;186.55;0.97%
16;Uniper;34009999999.999996;37540000000.0;78.41;1,900.00%
17;Bayer;33040000000.0;36470000000.0;33.64;0.42%
18;Adidas;32890000000.0;36300000000.0;184.2;0.03%
19;E.ON;31720000000.0;35010000000.0;12.15;0.12%
20;Beiersdorf;30790000000.0;33979999999.999996;135.73;0.52%
21;RWE;30740000000.0;33930000000.0;41.33;0.32%
22;Henkel;28810000000.0;31800000000.0;73.12;0.47%
23;Daimler Truck;27870000000.0;30760000000.0;34.12;0.44%
24;Hapag-Lloyd;26160000000.0;28870000000.0;135.03;1.12%
25;Hannover Rück;26080000000.0;28790000000.0;216.34;0.51%
26;Deutsche Bank;24890000000.0;27470000000.0;12.28;0.51%
27;Vonovia;23250000000.0;25660000000.0;28.55;1.07%
28;BioNTech;22920000000.0;25300000000.0;95.62;0.17%
29;EnBW Energie;21450000000.0;23680000000.0;79.22;1.02%
30;Sartorius;20460000000.0;22580000000.0;265.06;0.57%
31;Talanx;16770000000.0;18510000000.0;64.66;0.86%
32;Fresenius;15810000000.0;17450000000.0;28.08;1.02%
33;Continental;15380000000.0;16980000000.0;76.94;0.29%
34;HeidelbergCement;15070000000.0;16629999999.999998;80.96;0.10%
35;Porsche SE;14330000000.0;15820000000.0;46.33;0.19%
36;Symrise;13930000000.0;15370000000.0;99.66;0.77%
37;Commerzbank;13350000000.0;14730000000.0;10.75;0.19%
38;Rheinmetall;12490000000.0;13790000000.0;288.16;0.28%
39;Brenntag;12270000000.0;13540000000.0;83.23;0.22%
40;Fresenius Medical Care;11190000000.0;12350000000.0;18.87;0.48%
41;Traton;10730000000.0;11840000000.0;21.33;1.48%
42;MTU Aero Engines;10480000000.0;11570000000.0;195.3;0.62%
43;Covestro;10020000000.0;11060000000.0;52.65;0.34%
44;Lufthansa;9630000000.0;10630000000.0;8.05;0.34%
45;Deutsche Wohnen;9500000000.0;10490000000.0;23.95;1.18%
46;Knorr-Bremse;9490000000.0;10480000000.0;58.81;0.10%
47;Siemens Energy;9480000000.0;10460000000.0;11.97;0.80%
48;HELLA;9180000000.0;10130000000.0;82.32;0.00%
49;Nemetschek;9060000000.0;10000000000.0;78.51;0.74%
50;Carl Zeiss Meditec;8960000000.0;9890000000.0;95.52;5.45%
51;Evonik Industries;8620000000.0;9510000000.0;18.5;0.05%
52;Birkenstock;8289999999.999999;9150000000.0;44.15;1.56%
53;Rational AG;7890000000.0;8710000000.0;694.15;0.14%
54;PUMA;7570000000.0;8350000000.0;50.53;0.04%
55;Hochtief;7540000000.0;8320000000.0;99.82;0.05%
56;Wacker Chemie;7470000000.0;8250000000.0;114.03;0.44%
57;Telefónica Deutschland (O2);7040000000.0;7770000000.0;2.36;0.13%
58;DWS Group;6930000000.0;7650000000.0;34.69;0.29%
59;Delivery Hero;6530000000.0;7210000000.0;24.85;2.22%
60;GEA Group;6500000000.0;7170000000.0;37.54;1.32%
61;CTS Eventim;6060000000.0;6690000000.0;63.21;1.10%
62;LEG Immobilien;5870000000.0;6480000000.0;79.34;0.45%
63;Bechtle;5720000000.0;6310000000.0;45.41;0.66%
64;Zalando;5550000000.0;6130000000.0;21.45;1.85%
65;KION Group;5070000000.0;5600000000.0;38.68;0.03%
66;Fraport;5060000000.0;5580000000.0;54.77;0.62%
67;Fuchs Petrolub;4910000000.0;5420000000.0;32.86;0.46%
68;Scout24;4730000000.0;5220000000.0;63.81;0.76%
69;HUGO BOSS;4660000000.0;5140000000.0;67.48;1.32%
70;Aixtron;4340000000.0;4790000000.0;38.56;0.18%
71;Sixt;4190000000.0000005;4620000000.0;100.12;0.10%
72;Fielmann;4090000000.0;4510000000.0;48.75;0.77%
73;United Internet;3980000000.0;4390000000.0;22.99;0.00%
74;Thyssenkrupp;3940000000.0;4350000000.0;6.33;0.32%
75;Evotec;3820000000.0;4219999999.9999995;10.63;0.68%
76;Schaeffler;3620000000.0;4000000000.0;5.62;0.81%
77;TUI;3580000000.0;3950000000.0;7.06;0.31%
78;Krones;3560000000.0;3930000000.0;112.82;0.62%
79;Vitesco Technologies Group;3440000000.0;3800000000.0;78.21;0.26%
80;DMG Mori;3440000000.0;3800000000.0;43.41;0.23%
81;Jungheinrich;3370000000.0;3720000000.0;33.29;0.06%
82;Gerresheimer;3250000000.0;3590000000.0;94.42;0.26%
83;Aurubis;3240000000.0;3580000000.0;74.4;1.54%
84;1&1;3210000000.0;3540000000.0;18.21;0.44%
85;Freenet;3010000000.0;3320000000.0;25.32;0.08%
86;Ströer;2980000000.0;3290000000.0;53.66;3.37%
87;Südzucker;2900000000.0;3200000000.0;14.22;0.42%
88;Lechwerke;2860000000.0;3160000000.0;81.01;0.00%
89;Hensoldt;2800000000.0;3090000000.0;24.24;0.66%
90;Software AG;2650000000.0;2930000000.0;35.99;1.18%
91;Tradegate Exchange;2650000000.0;2930000000.0;109.03;0.91%
92;Siltronic;2650000000.0;2920000000.0;88.17;0.40%
93;K+S;2640000000.0;2910000000.0;14.24;0.80%
94;Gelsenwasser;2590000000.0;2860000000.0;755.17;0.66%
95;SYNLAB;2530000000.0;2790000000.0;11.42;0.09%
96;Encavis;2510000000.0;2770000000.0;15.39;0.49%
97;HelloFresh;2470000000.0;2730000000.0;14.31;0.28%
98;Nordex;2460000000.0;2720000000.0;10.43;2.61%
99;Lanxess;2450000000.0;2700000000.0;28.25;1.53%
100;IONOS Group;2440000000.0;2690000000.0;17.47;2.22%
